UniProt Accession;GeneSymbol;Control 2h;Control 2h_2;Control 2h_3;Control 6h_1;Control 6h_2;Control 6h_3;Control 10h_1;Control 10h_2;Control 10h_3;Control 24h_1;Control 24h_2;Control 24h_3;Virus 2h_1;Virus 2h_2;Virus 2h_3;Virus 6h_1;Virus 6h_2;Virus 6h_3;Virus 10h_1;Virus 10h_2;Virus 10h_3;Virus 24h_1;Virus 24h_2;Virus 24h_3;2hrs infection_1;2hrs infection_2;2hrs infection_3;6hrs infection_1;6hrs infection_2;6hrs infection_3;10hrs infection_1;10hrs infection_2;10hrs infection_3;24hrs infection_1;24hrs infection_2;24hrs infection_3;Fold_2h;Fold_6h;Fold_10h;Fold_24h;Pvalue;Pvalue_6h;Pvalue_10h;Pvalue_24h
Q9NQ94;A1CF;9,831532103;9,851989471;9,82416321;9,893395584;9,858688178;9,808027808;9,616157333;9,74463373;9,664066782;9,726327166;9,742893807;9,79382437;9,910882535;9,878050913;9,90641112;9,782600226;9,796445259;9,795146777;9,809879039;9,784860556;9,744436958;9,770297185;9,71312012;9,700909558;0,079350432;0,026061442;0,082247911;-0,110795358;-0,062242919;-0,012881031;0,193721706;0,040226826;0,080370175;0,043970019;-0,029773687;-0,092914812;0,06257826;-0,062384656;0,104047025;-0,026207992;0,009211423;0,071595387;0,06557135;0,426723054
Q9NRG9;AAAS;8,245077275;8,263306764;8,404860557;8,356865682;8,197457532;8,276906041;8,223465992;8,249151387;8,335515413;8,366632579;8,277845305;8,369789257;8,307187145;8,309858293;8,31904885;8,222645193;8,265249346;8,297228107;8,361588538;8,377692072;8,34401178;8,423241996;8,694716557;8,632955223;0,06210987;0,04655153;-0,085811707;-0,134220489;0,067791814;0,020322066;0,138122545;0,128540685;0,008496367;0,056609417;0,416871253;0,263165966;0,005838911;-0,016513311;0,090984512;0,249528302;0,914914834;0,762288522;0,05827626;0,052593788
Q86V21;AACS;10,25625587;10,21905959;10,22736324;10,23895401;10,1577764;10,21752155;10,28975379;10,30398618;10,35400689;10,36513041;10,3834127;10,38669241;10,26259994;10,23462586;10,21812727;10,26494687;10,27119454;10,23267275;10,3369528;10,37596255;10,38035283;10,32497932;10,35921147;10,31761611;0,006344062;0,015566269;-0,009235965;0,025992864;0,113418145;0,015151194;0,047199009;0,071976367;0,02634594;-0,040151084;-0,024201232;-0,069076298;0,004253454;0,051212013;0,048374503;-0,044393216;0,817234409;0,126751484;0,111764836;0,036647495
Q6PD74;AAGAB;7,674213458;7,586156738;7,556375766;7,675314908;7,551492947;7,644123064;7,583789835;7,407276263;7,468167847;7,538825246;7,529532066;7,634709423;7,581208116;7,694364853;7,722138102;7,544987608;7,536433734;7,517818964;7,551662125;7,546500944;7,503046552;7,388292878;7,21292919;7,440985409;-0,093005343;0,108208114;0,165762336;-0,1303273;-0,015059213;-0,1263041;-0,032127709;0,139224681;0,034878705;-0,150532368;-0,316602877;-0,193724014;0,060725589;-0,091471013;0,045621387;-0,21782465;0,337262683;0,077764276;0,443403484;0,039807618
Q2M2I8;AAK1;8,191542911;7,955812619;8,131754091;8,184528261;8,082127747;7,810860787;8,063945088;8,175614417;8,115433867;8,176432487;8,090779346;7,951034043;8,220257393;8,183928108;8,138532921;8,279847335;8,059084833;8,135427131;8,268303383;8,251652826;8,222635534;8,438808483;7,966043946;8,241892606;0,028714481;0,228115489;0,00677883;0,095319074;-0,023042913;0,324566344;0,204358295;0,076038408;0,107201667;0,262375996;-0,1247354;0,290858563;0,084830915;0,126757262;0,12860031;0,152746187;0,301829167;0,364649371;0,019178387;0,379821325
Q9H7C9;AAMDC;9,110324089;8,999425062;8,981033486;9,183042303;9,074203024;9,061951664;9,071550852;9,008795552;9,15069675;8,943974056;8,928340711;8,828326926;9,1621496;9,078428376;9,055729819;9,108584568;9,160784082;9,113010216;9,090453861;9,000431053;9,233430341;8,712179611;8,605557299;8,779082394;0,051825511;0,079003315;0,074696333;-0,074457735;0,086581059;0,051058552;0,018903009;-0,008364499;0,08273359;-0,231794444;-0,322783411;-0,049244533;0,06809877;0,02021973;0,033127575;-0,200415338;0,261065792;0,657084176;0,700924757;0,029529717
Q13685;AAMP;9,522071447;9,488938716;9,48622162;9,525994452;9,577598769;9,528850626;9,577668628;9,579768477;9,51933353;9,773417826;9,739708051;9,731201913;9,486115002;9,449022739;9,454854465;9,540023393;9,514445804;9,452253598;9,650594047;9,622822394;9,562763303;9,547499956;9,552167621;9,448826635;-0,035956444;-0,039915976;-0,031367155;0,014028941;-0,063152965;-0,076597029;0,07292542;0,043053917;0,043429773;-0,22591787;-0,18754043;-0,282375279;-0,035746671;-0,041633224;0,053329752;-0,23127916;0,094139702;0,246835094;0,177119605;0,002371533
Q9Y312;AAR2;6,65692534;6,561814896;6,660766075;6,761577826;6,46224868;6,718334224;6,549464333;6,487942908;6,72816542;6,622498473;6,665023181;6,614562623;6,636279492;6,403833508;6,542504154;6,708725249;6,446211559;6,66766509;6,631956955;6,562820913;6,648781789;6,505784565;6,517420585;6,706033176;-0,020645847;-0,157981388;-0,118261921;-0,052852577;-0,016037121;-0,050669134;0,082492622;0,074878005;-0,079383631;-0,116713908;-0,147602595;0,091470553;-0,096541576;-0,041249438;0,022833397;-0,054824988;0,254855482;0,749445328;0,782431514;0,458948104
P49588;AARS;12,62123916;12,55017921;12,55467278;12,57685513;12,5949497;12,54735005;12,57500972;12,54638567;12,5299478;12,67011182;12,62045812;12,60815316;12,5697773;12,5516578;12,50542205;12,57448236;12,57152039;12,49423058;12,60632192;12,6068077;12,60796598;12,56687935;12,4701784;12,45400877;-0,051461857;0,001478586;-0,04925073;-0,002372765;-0,023429308;-0,053119471;0,031312204;0,060422039;0,078018175;-0,103232462;-0,150279712;-0,154144383;-0,033192072;-0,025964935;0,056463993;-0,135267953;0,331536474;0,426090883;0,012046101;0,026466015
Q5JTZ9;AARS2;8,59859969;8,614124551;8,486042578;8,52786011;8,574180999;8,502760214;8,621714907;8,601562817;8,494679611;8,578183968;8,644371861;8,506513878;8,637189988;8,664500618;8,53679116;8,57885571;8,532379304;8,47384778;8,543894085;8,566541199;8,456305126;8,665179558;8,611840003;8,605383212;0,038590298;0,050376067;0,050748581;0,0509956;-0,041801695;-0,028912434;-0,077820822;-0,035021619;-0,038374484;0,086995589;-0,032531858;0,098869334;0,046490026;-0,006238087;-0,050695627;0,050263472;0,447696719;0,873763299;0,379482895;0,313378602
Q9BTE6;AARSD1;8,473157787;8,468823583;8,386392801;8,151706634;8,167970028;8,19293387;8,391690401;8,303588985;8,287943192;8,452574844;8,534209489;8,436361755;8,304205276;8,267662197;8,320782501;8,346531462;8,317702028;8,294014138;8,423027644;8,406838504;8,367768556;8,369091278;8,392141369;8,513123551;-0,16895251;-0,201161386;-0,0656103;0,194824828;0,149732;0,101080268;0,031337242;0,103249519;0,079825364;-0,083483566;-0,14206812;0,076761795;-0,145619761;0,148605879;0,070929073;-0,048840489;0,011489627;0,001635406;0,119804554;0,419124663
Q9NRN7;AASDHPPT;10,05563493;10,09303456;10,0920832;10,05927685;10,04783281;10,09085343;9,981367488;10,07190476;10,08699866;10,05667835;10,06100659;10,08055108;9,955940451;10,02487647;10,08256156;10,01228931;10,00576488;10,06289612;10,09928205;10,11982303;10,08081753;9,937529779;10,03267944;10,02930103;-0,099694479;-0,068158081;-0,009521636;-0,04698754;-0,042067931;-0,027957311;0,117914564;0,04791827;-0,006181137;-0,119148575;-0,028327154;-0,051250045;-0,058302304;-0,038892372;0,052556515;-0,065610876;0,198893815;0,154432367;0,197376974;0,102191216
Q9UDR5;AASS;10,20266259;10,11014397;10,08361229;10,2313412;10,16728014;10,15107998;10,22962397;10,09258538;10,22022111;10,20012618;10,10584305;10,01924322;10,25470977;10,14883245;10,1473067;10,17921245;10,22987628;10,10788399;10,26651718;10,19315571;10,40358728;10,37714544;10,27600805;10,24478005;0,052047182;0,03868848;0,06369441;-0,052128752;0,062596137;-0,043195993;0,036893211;0,100570326;0,183366172;0,177019262;0,170165005;0,225536835;0,051451334;-0,010462011;0,108256581;0,190128772;0,371841382;0,819641176;0,232620636;0,043364726
Q9NY61;AATF;6,80099047;7,038721497;6,782893401;7,081243746;7,007498274;6,622584859;6,858751885;6,830838411;6,647458426;6,845063452;6,879448469;6,635279895;6,783941138;6,869180484;6,559005326;6,793882881;6,791032617;6,576783625;6,861000031;6,949674994;6,567793359;6,852885263;7,131723229;6,695130832;-0,017049332;-0,169541013;-0,223888075;-0,287360865;-0,216465657;-0,045801234;0,002248147;0,118836583;-0,079665067;0,007821811;0,252274759;0,059850937;-0,135779886;-0,193258132;0,019830094;0,114103894;0,333622191;0,290228217;0,885602127;0,496557841
P80404;ABAT;10,02116044;10,12780092;10,19661442;10,26927866;10,28337779;10,1936732;10,16873479;10,08421046;10,0617492;10,11814945;10,0797381;10,04070069;10,12350066;10,16098068;10,20561;10,17776833;10,21542379;10,17829137;10,13484983;10,12177956;10,12578798;10,08804617;10,08584421;10,08230874;0,102340226;0,033179758;0,008995579;-0,091510323;-0,067953997;-0,015381825;-0,033884963;0,037569095;0,064038779;-0,030103283;0,006106106;0,041608054;0,046765142;-0,058708499;0,021844896;0,00552579;0,446189939;0,128611261;0,542431849;0,817080576
P08183;ABCB1;12,08743964;12,07265518;12,15081985;12,09813739;12,00239663;12,00293102;12,07133498;12,0502534;11,98906093;12,25479538;12,17315555;12,20436328;12,03314765;12,02221521;12,08189615;12,02609804;11,97584797;11,99166356;12,12735921;12,10595106;12,03154269;12,44844932;12,39823866;12,33565553;-0,054291984;-0,050439964;-0,068923704;-0,072039345;-0,026548662;-0,011267459;0,056024233;0,055697656;0,042481763;0,193653934;0,225083112;0,131292248;-0,058051344;-0,037172766;0,051562235;0,183686851;0,130226811;0,357050774;0,245678107;0,011228584
"P21439;P08183";"ABCB1;ABCB4";9,592045848;9,540751877;9,696211217;9,639335282;9,563102823;9,593477028;9,593572265;9,54261597;9,52942665;9,714916902;9,640284709;9,690834352;9,484969875;9,451693304;9,584421389;9,531876571;9,491676756;9,59579641;9,689486126;9,626353346;9,646927662;9,802391962;9,844831279;9,77580943;-0,107075973;-0,089058573;-0,111789828;-0,107458711;-0,071426067;0,002319381;0,09591386;0,083737376;0,117501012;0,08747506;0,20454657;0,084975077;-0,102990054;-0,058557341;0,099024728;0,125611846;0,169742399;0,193008608;0,021654113;0,013370852
"O43776;P08183";"ABCB1;NARS";8,503825738;8,556069157;8,32655083;8,385646735;8,583718391;8,40556272;8,368366769;8,450011115;8,396724644;8,479497355;8,580707043;8,453484656;8,388994542;8,493190976;8,433710615;8,454023685;8,348559978;8,360408175;8,491933244;8,532858492;8,277152541;8,470443318;8,478619984;8,311366875;-0,114831196;-0,06287818;0,107159785;0,06837695;-0,235158414;-0,045154545;0,123566475;0,082847377;-0,119572103;-0,009054037;-0,102087059;-0,14211778;-0,026183688;-0,072653976;0,032832882;-0,083443101;0,744408775;0,379496997;0,708138073;0,273031237
Q9NRK6;ABCB10;5,201202556;5,37717929;5,196980731;4,976666075;5,34050174;5,189954988;5,222959083;5,274656764;5,067191247;4,987889281;5,136236511;4,96939458;5,101801329;5,407400342;5,136552343;4,914444932;5,114662697;4,995072908;5,08533117;5,059376911;5,023082325;5,158155225;5,44468363;4,925116447;-0,099401227;0,030221052;-0,060428387;-0,062221143;-0,225839043;-0,194882081;-0,137627913;-0,215279853;-0,044108922;0,170265943;0,308447119;-0,044278133;-0,039081462;-0,166283415;-0,13477775;0,15855852;0,752543814;0,248979746;0,112485202;0,397042281
Q9NP58;ABCB6;9,341774538;9,354425713;9,385592814;9,406470769;9,40452212;9,381408841;9,229270664;9,338288465;9,308432324;9,18968127;9,281218354;9,252365037;9,386619132;9,447046022;9,375484773;9,366868586;9,39510994;9,434517728;9,311464515;9,415948758;9,338827732;9,211766646;9,224792768;9,235210078;0,044844593;0,092620309;-0,010108041;-0,039602182;-0,00941218;0,053108887;0,082193851;0,077660293;0,030395407;0,022085375;-0,056425585;-0,017154959;0,042678709;0,00158709;0,063368836;-0,017637311;0,177446033;0,944017246;0,232700482;0,561044632
O75027;ABCB7;8,468843943;8,432733969;8,488627474;8,433673064;8,256501209;8,32962594;8,393613548;8,494343602;8,443030552;8,413619467;8,364379827;8,491019298;8,503555456;8,457331625;8,560172314;8,489366313;8,377874234;8,456140819;8,499666535;8,499726322;8,477928223;8,478421794;8,466056063;8,504445606;0,034711513;0,024597657;0,071544839;0,055693249;0,121373026;0,126514879;0,106052987;0,00538272;0,034897671;0,064802327;0,101676236;0,013426308;0,044046412;0,100109597;0,048228001;0,059112664;0,267801747;0,172425519;0,177805495;0,195462536
"O15439;Q9NUT2";"ABCB8;ABCC4";6,800770504;7,020546649;7,128716133;6,706696307;6,932155684;7,107122898;6,646263481;6,848935856;6,765998774;7,003354871;7,018400501;7,007161856;6,817124367;6,909101034;7,145565377;6,630712699;6,881101721;7,042633395;6,845138743;6,954905849;6,875976602;6,808191958;6,918350453;7,044689186;0,016353863;-0,111445615;0,016849245;-0,075983608;-0,051053963;-0,064489504;0,198875262;0,105969993;0,109977828;-0,195162913;-0,100050048;0,03752733;-0,02572011;-0,063248126;0,136630859;-0,082669409;0,860681278;0,719814093;0,105398344;0,282796609
P33527;ABCC1;8,688526581;8,654661088;8,980151005;8,480402469;8,597043191;8,688267796;8,695861616;8,731610935;8,945982186;8,592131834;8,742275748;8,826024064;8,691743519;8,70568422;8,816001233;8,648253309;8,691994704;8,799527717;8,64225752;8,697488888;8,880459015;8,729987743;8,73689233;8,640498018;0,003216939;0,051023132;-0,164149772;0,16785084;0,094951513;0,111259921;-0,053604096;-0,034122047;-0,065523171;0,137855909;-0,005383417;-0,185526046;-0,043115003;0,123596974;-0,05174204;-0,020240253;0,726914217;0,17180329;0,658767678;0,7995578
Q92887;ABCC2;7,796584776;7,915311747;7,994070528;7,985494738;7,941769507;7,95070169;8,034853974;8,054550055;8,042485658;8,151031765;8,200967245;8,242678716;7,688047443;7,800065095;7,902797158;7,867587635;7,726974226;7,973180745;8,08306441;8,162366151;7,82273652;7,840633175;8,136714334;8,11287212;-0,108537333;-0,115246652;-0,09127337;-0,117907103;-0,214795281;0,022479054;0,048210436;0,107816096;-0,219749138;-0,31039859;-0,064252911;-0,129806596;-0,104629971;-0,100022636;-0,014113557;-0,16252726;0,280628382;0,225049046;0,893742383;0,14885171
O15438;ABCC3;4,665995284;4,636966767;4,819857193;4,910550395;5,041895658;4,884451397;4,965973554;5,111936887;5,149088613;5,128623348;4,83561085;4,927469838;5,108365542;4,679547658;4,733636344;5,089298987;5,186508481;4,840322231;5,061737322;4,86938286;5,043204499;5,115711636;5,067290219;5,045508499;0,442370258;0,042580891;-0,086220849;0,178748592;0,144612823;-0,044129167;0,095763768;-0,242554027;-0,105884114;-0,012911712;0,231679368;0,11803866;0,143592711;0,098654517;-0,083800582;0,107321889;0,412437985;0,436779226;0,360231446;0,286854188
O15439;ABCC4;7,023698917;7,105018005;7,200212028;7,049598098;6,968586161;6,980059584;6,966972576;7,160345431;7,058435561;7,077606191;7,096704614;7,259112388;7,062888026;7,035535938;7,286206575;6,917037849;7,048977225;7,102416682;7,085668966;7,179729986;6,964052011;7,075596807;7,246655103;7,202603826;0,039189109;-0,069482067;0,085994547;-0,132560249;0,080391064;0,122357098;0,11869639;0,019384554;-0,09438355;-0,002009384;0,149950489;-0,056508562;0,02120354;0,025034878;0,015093753;0,029957104;0,83665075;0,699727034;0,865511335;0,718201798
P33897;ABCD1;5,525595976;5,553206886;5,586326405;5,31092537;5,310158318;5,188408838;5,592385274;5,489960322;5,787294018;5,448613573;5,36577651;5,615460439;5,65926241;5,679263327;5,583967299;5,485497672;5,587494012;5,700470236;5,39409565;5,535026481;5,358976402;5,425479446;5,591682409;5,791084727;0,133666434;0,126056441;-0,002359106;0,174572302;0,277335694;0,512061399;-0,198289624;0,045066159;-0,428317616;-0,023134126;0,225905899;0,175624288;0,086154317;0,322859158;-0,197141218;0,130124335;0,065363314;0,014426367;0,140427561;0,379185887
P28288;ABCD3;10,98391991;10,93809462;10,94781955;10,93602687;10,92357262;10,93334395;10,94045309;10,83726524;10,84875594;10,95617284;10,89961371;10,8963324;10,99218069;10,93321853;10,973518;10,95832796;10,91273219;10,88807349;10,9891674;10,9492285;10,88494891;11,07821754;11,01618846;11,02122291;0,008260778;-0,00487609;0,025698459;0,022301084;-0,010840431;-0,045270465;0,04871431;0,11196326;0,036192969;0,122044692;0,116574749;0,124890509;0,009768661;-0,010985653;0,065516362;0,121182788;0,683909481;0,627214357;0,216416447;0,012450175
P61221;ABCE1;10,82422687;10,82201308;10,87463561;10,75811493;10,78855521;10,7855669;10,7796455;10,79672104;10,76849864;10,7662473;10,76256475;10,80158712;10,75466206;10,761975;10,81278699;10,77078776;10,74611118;10,76786994;10,82915982;10,85928629;10,78389859;10,82758882;10,80583253;10,81050737;-0,069564805;-0,060038079;-0,06184862;0,012672834;-0,042444031;-0,017696957;0,049514321;0,062565256;0,01539995;0,061341524;0,043267775;0,008920252;-0,06379015;-0,015845687;0,04277856;0,037765976;0,064643659;0,270591488;0,144183732;0,054625381
Q8NE71;ABCF1;11,76466015;11,65154507;11,72905562;11,66076251;11,60203535;11,66074023;11,7208855;11,63642071;11,67682539;11,67125356;11,6257408;11,67572333;11,67326048;11,60935422;11,69899109;11,68389818;11,61342115;11,66957604;11,7198551;11,67817757;11,65476132;11,73462495;11,62185499;11,62214336;-0,091399662;-0,042190851;-0,030064526;0,023135668;0,011385797;0,008835805;-0,001030406;0,04175686;-0,022064068;0,063371392;-0,003885809;-0,053579968;-0,054830816;0,014507367;0,006059972;0,002777666;0,267710779;0,642074728;0,854400807;0,949519074
"Q8NE71;Q5JSZ5";"ABCF1;PRRC2B";6,362427807;6,220966411;6,288308724;6,368574557;6,307745446;6,344457481;6,289736733;6,233646517;6,389053931;6,255077682;6,142397099;6,39035127;6,292279295;6,197507661;6,387800219;6,320809573;6,252814897;6,250296523;6,455457098;6,174823842;6,309901937;6,447684981;6,286330424;6,221411184;-0,070148512;-0,023458751;0,099491495;-0,047764984;-0,054930549;-0,094160958;0,165720365;-0,058822676;-0,079151993;0,192607299;0,143933325;-0,168940086;0,002895033;-0,065463613;0,012364087;0,055465676;0,968305477;0,087253188;0,900976576;0,605376462
Q9UG63;ABCF2;10,12241389;10,15066121;10,21057394;10,04986216;9,963569491;10,12580089;10,24596858;10,26773475;10,29680152;10,31305307;10,29852086;10,34796456;10,06650633;10,07258819;10,17256502;10,14653049;10,11262195;10,17890134;10,2755542;10,31653045;10,1874758;10,28971921;10,19261338;10,11250467;-0,055907561;-0,078073023;-0,038008923;0,096668332;0,149052459;0,053100446;0,029585616;0,048795692;-0,109325723;-0,02333386;-0,105907479;-0,235459895;-0,056973862;0,098340722;-0,009465786;-0,119894039;0,258316777;0,116971458;0,826451197;0,080783317
Q9NUQ8;ABCF3;8,221514622;8,115314211;8,110279713;8,168371264;8,046829343;8,011579498;8,267868156;8,211460045;8,124829558;8,320096513;8,184974494;8,207170543;8,258198541;8,185598988;8,19733466;8,225207437;8,066062274;8,124390176;8,155890873;8,146242808;8,114507581;8,280394971;8,132535716;8,214887343;0,036683919;0,070284776;0,087054947;0,056836173;0,019232931;0,112810678;-0,111977284;-0,065217237;-0,010321977;-0,039701542;-0,052438778;0,007716801;0,064107886;0,062887748;-0,063592483;-0,02809898;0,20786868;0,401627784;0,221982587;0,66447041
Q9NUJ1;ABHD10;9,524418302;9,50717621;9,50410789;9,496883729;9,510327041;9,504143652;9,544599367;9,445943915;9,515021691;9,556161146;9,535963506;9,497935643;9,551181452;9,508698023;9,505664697;9,583253925;9,420848689;9,51828137;9,557890607;9,506194502;9,550165743;9,535092598;9,534884513;9,520805266;0,02676315;0,001521814;0,001556807;0,086370195;-0,089478353;0,014137718;0,01329124;0,060250586;0,035144052;-0,021068548;-0,001078994;0,022869624;0,010069656;0,005203758;0,035818019;5,46E-05;0,565719228;0,917448286;0,338098441;0,997679826
Q8NFV4;ABHD11;9,96325013;9,944444138;10,01205182;9,982066645;9,981196215;10,05881704;9,963830997;9,876995719;10,02082719;9,935914938;9,871674265;9,914437457;10,0282238;9,966519872;9,985443505;9,947150357;9,964618116;9,99613449;10,01244297;9,914555554;10,04033082;10,07045642;10,04671477;10,10891644;0,064973666;0,022075733;-0,026608312;-0,034916288;-0,016578099;-0,062682554;0,048611972;0,037559835;0,019503632;0,134541478;0,175040508;0,194478983;0,020096272;-0,038377931;0,0350182;0,168001836;0,502240073;0,26832394;0,566252795;0,003027915
Q8N2K0;ABHD12;8,562341654;8,539050217;8,636309223;8,641267838;8,560665285;8,658468574;8,566373756;8,475879314;8,669242955;8,583015051;8,596320227;8,582932283;8,685775496;8,650445058;8,691206115;8,601488535;8,588767096;8,550727549;8,633336752;8,684927412;8,801210402;8,796526375;9,313037197;8,68877483;0,123433842;0,11139484;0,054896892;-0,039779304;0,028101812;-0,107741024;0,066962996;0,209048098;0,131967447;0,213511324;0,716716971;0,105842547;0,096089184;-0,040271419;0,135547784;0,371955252;0,037839797;0,299125345;0,144511762;0,180203314
Q96IU4;ABHD14B;9,449227073;9,471057365;9,491923226;9,574313475;9,597317004;9,534641385;9,534063548;9,462492048;9,484450343;9,575981631;9,595548416;9,501033031;9,458525551;9,521763347;9,450450405;9,474225108;9,600327372;9,493517247;9,52338945;9,587141803;9,508228572;9,460750753;9,398859103;9,436349262;0,009298478;0,050705982;-0,041472821;-0,100088368;0,003010368;-0,041124138;-0,010674099;0,124649755;0,02377823;-0,115230877;-0,196689313;-0,06468377;0,006425977;-0,045224604;0,046013507;-0,125882256;0,816065277;0,354686104;0,228586097;0,02163499
